,filename,mouse,session,fov,neuron number,spontaneous length (s),BCI_1 CN,BCI_1 trial number,BCI_1 hit rate,BCI_2 CN,BCI_2 trial number,BCI_2 hit rate,photostim group number,photostim repeats per group
0,BCI_58-070323.npy,BCI_58,070323,FOV_01,507,205,64,99,0.53,,,,,
1,BCI_58-070523.npy,BCI_58,070523,FOV_01,507,277,64,72,0.47,63,48,0.75,,
2,BCI_58-070623.npy,BCI_58,070623,FOV_01,507,331,63,30,1,33,76,0.67,100,20.45
3,BCI_58-070723.npy,BCI_58,070723,FOV_01,507,221,407,34,0.79,27,79,0.9,100,20.72
4,BCI_58-071023.npy,BCI_58,071023,FOV_01,507,224,27,35,0.91,66,94,0.82,100,20.54
5,BCI_58-071123.npy,BCI_58,071123,FOV_01,507,193,66,37,0.84,46,50,0.1,100,21.89
6,BCI_58-071223.npy,BCI_58,071223,FOV_01,507,252,77,49,0.49,158,76,0.72,100,20.56
7,BCI_58-071323.npy,BCI_58,071323,FOV_01,507,244,158,53,0.45,48,113,0.51,100,21.23
8,BCI_58-071823.npy,BCI_58,071823,FOV_02,693,224,36,117,0.87,,,,,
9,BCI_58-071923.npy,BCI_58,071923,FOV_02,693,414,36,34,0.18,16,82,0.5,,
10,BCI_58-072023.npy,BCI_58,072023,FOV_02,693,248,16,49,0.31,33,136,0.4,,
11,BCI_58-072123.npy,BCI_58,072123,FOV_02,693,286,4,135,0.16,,,,,
12,BCI_58-072223.npy,BCI_58,072223,FOV_02,693,253,78,200,0.83,,,,100,19.72
13,BCI_58-072323.npy,BCI_58,072323,FOV_02,693,263,20,179,0.28,,,,100,25.18
14,BCI_58-072423.npy,BCI_58,072423,FOV_02,693,336,104,166,0.73,,,,100,22.98
15,BCI_59-070323.npy,BCI_59,070323,FOV_01,502,286,25,97,0.89,,,,,
16,BCI_59-070523.npy,BCI_59,070523,FOV_01,502,213,25,38,1,3,46,0.89,,
17,BCI_59-070623.npy,BCI_59,070623,FOV_01,502,283,3,37,0.92,43,82,0.56,100,20.46
18,BCI_59-070723.npy,BCI_59,070723,FOV_01,502,249,43,34,0.97,16,60,0.88,100,20.15
19,BCI_59-071123.npy,BCI_59,071123,FOV_02,192,233,3,67,0.61,,,,,
20,BCI_59-071223.npy,BCI_59,071223,FOV_02,192,209,3,41,0.07,15,63,0.68,100,22.15
21,BCI_59-071323.npy,BCI_59,071323,FOV_02,192,232,15,41,0.22,18,85,0.93,100,20.46
22,BCI_59-071823.npy,BCI_59,071823,FOV_03,317,236,20,118,0.35,,,,,
23,BCI_59-071923.npy,BCI_59,071923,FOV_03,317,275,20,51,0.14,4,81,0.49,,
24,BCI_59-072023.npy,BCI_59,072023,FOV_03,317,195,4,51,0.2,26,134,0.72,,
25,BCI_59-072123.npy,BCI_59,072123,FOV_03,317,338,55,38,0.13,16,84,0.36,,
26,BCI_59-072223.npy,BCI_59,072223,FOV_03,317,284,10,156,0.35,,,,100,20.76
27,BCI_59-072323.npy,BCI_59,072323,FOV_03,317,262,12,159,0.56,,,,100,21.93
28,BCI_59-072423.npy,BCI_59,072423,FOV_03,317,272,3,182,0.15,,,,100,23.09
29,BCI_60-070323.npy,BCI_60,070323,FOV_01,633,291,47,86,0.99,,,,,
30,BCI_60-070523.npy,BCI_60,070523,FOV_01,633,231,47,32,0.94,18,77,0.78,,
31,BCI_60-070623.npy,BCI_60,070623,FOV_01,633,318,18,34,0.91,106,70,0.97,100,20.54
32,BCI_60-070723.npy,BCI_60,070723,FOV_01,633,243,106,39,0.85,41,100,0.69,100,20.59
33,BCI_60-071023.npy,BCI_60,071023,FOV_01,633,268,41,36,0.25,43,121,0.81,100,22.14
34,BCI_60-071123.npy,BCI_60,071123,FOV_01,633,244,43,37,0.81,8,108,0.45,100,20.57
35,BCI_60-071223.npy,BCI_60,071223,FOV_01,633,241,8,51,0.39,61,104,0.72,100,20.53
36,BCI_60-071323.npy,BCI_60,071323,FOV_01,633,223,1,40,0.95,11,119,0.5,100,20.74
37,BCI_60-071823.npy,BCI_60,071823,FOV_02,504,386,17,98,0.63,,,,,
38,BCI_60-071923.npy,BCI_60,071923,FOV_02,504,262,17,38,0.03,97,105,0.86,,
39,BCI_60-072023.npy,BCI_60,072023,FOV_02,504,235,97,44,0.91,39,84,0.86,,
40,BCI_60-072123.npy,BCI_60,072123,FOV_02,504,313,6,160,0.82,,,,100,21.18
41,BCI_60-072223.npy,BCI_60,072223,FOV_02,504,255,108,168,0.52,,,,100,20.73
42,BCI_60-072323.npy,BCI_60,072323,FOV_02,504,252,44,166,0.7,,,,100,23.09
43,BCI_60-072423.npy,BCI_60,072423,FOV_02,504,250,145,182,0.65,,,,100,21.19
44,BCI_64-072123.npy,BCI_64,072123,FOV_01,657,315,0,67,0.78,,,,,
45,BCI_64-072223.npy,BCI_64,072223,FOV_01,657,272,71,78,0.95,,,,20,113
46,BCI_64-072323.npy,BCI_64,072323,FOV_01,657,298,33,128,0.75,,,,20,105.4
47,BCI_65-072123.npy,BCI_65,072123,FOV_01,847,226,40,35,0.26,47,44,0.34,,
48,BCI_65-072223.npy,BCI_65,072223,FOV_01,847,316,53,80,0.94,,,,20,111.45
49,BCI_65-072323.npy,BCI_65,072323,FOV_01,847,345,21,135,0.76,,,,20,109.1
